Gene1,Gene2,EdgeWeight
STAT3,TFB2M,1.6797132
JUND,ZNF589,1.6774939
TEAD4,MECOM,1.6745299
CTNNB1,ENC1,1.6744574
FOXP1,KLF5,1.6740203
TP53,POLR2K,1.6705456
PRDM1,RAD51AP1,1.6703676
TFAP2A,MECOM,1.6697537
CTNNB1,RBFOX2,1.6652409
FOXP1,PHB2,1.664742
CTNNB1,SLC35F1,1.659301
FOXP1,ELL2,1.6516438
TCF4,FXR1,1.6510439
KLF5,POLR1C,1.6425056
STAT3,ELMOD2,1.6375968
CTNNB1,KAT6A,1.6353549
JUND,SLC6A15,1.6221051
CTNNB1,CCDC82,1.6213944
OTX2,FXR1,1.6209824
TCF4,NAP1L3,1.6202558
CTNNB1,GATAD2A,1.601268
OTX2,CTNNB1,1.5994349
TEAD4,PLOD2,1.5956496
CTNNB1,SALL2,1.5910113
EOMES,HIF1A,1.5897392
JUND,HIF1A,1.5843456
PRDM1,DNAJC2,1.5799205
FOXP1,MAML3,1.5767431
JUND,WDHD1,1.570729
STAT3,TSPAN12,1.562453
EOMES,BUB1B,1.5616752
CTNNB1,NFIA,1.5610579
FOXP1,ASXL1,1.5548024
DNMT3B,SMAD5,1.5477536
JUND,ARID3B,1.539794
TFAP2A,PELI2,1.5335877
TEAD4,RMI1,1.5320886
PRDM1,BCLAF1,1.5276191
KLF5,JMJD1C,1.5226488
OTX2,CXXC1,1.519584
JUND,TRAF6,1.5074515
STAT3,EGR1,1.5017507
TEAD4,OTX2,1.4985387
TFAP2A,PHLDA1,1.4943457
MXI1,PDGFRA,1.4928398
CTNNB1,CBX3,1.4828794
CTNNB1,SKA3,1.4791489
STAT3,TCF4,1.4774475
OTX2,ETV4,1.4760987
OTX2,CER1,1.4756473
OTX2,TMEM64,1.4747665
OTX2,AFF1,1.4728254
MXI1,ILF2,1.4655154
CTNNB1,TMF1,1.4653488
TEAD4,ST8SIA4,1.4644747
MXI1,PFKFB2,1.4644303
TEAD4,VHL,1.4621676
TP53,WDHD1,1.4592843
TFAP2A,BCAR3,1.459209
STAT3,ARHGAP29,1.4526397
OTX2,CALCOCO1,1.4516501
TFAP2A,CAP2,1.451621
STAT3,ILF2,1.4508432
JUND,CDCA8,1.4498512
LEF1,ALG6,1.4475794
TEAD4,TIPARP,1.4445868
FOXP1,MIA3,1.444247
JUND,PPM1H,1.4437923
TFAP2A,KLHL4,1.4410689
TP53,NUP54,1.4361167
KLF5,GCA,1.4311783
FOXP1,ARID3B,1.4303243
FOXP1,WWP1,1.430294
TFAP2A,MCM5,1.4292917
FOXH1,FOXN3,1.426806
TEAD4,RAD51,1.4202509
OTX2,RGPD2,1.418597
STAT3,BAMBI,1.4182115
MXI1,TTC39B,1.4181836
EZH2,THAP9,1.4181402
PRDM1,PRICKLE1,1.4171524
OTX2,EMB,1.4165611
TFAP2A,CTNNB1,1.4129925
DNMT3B,RNPS1,1.4086305
TEAD4,MDM4,1.4056501
TP53,BTBD10,1.4029927
DNMT3B,ALCAM,1.398696
TEAD4,NAA15,1.3958137
CTNNB1,NCAPG,1.3938823
OTX2,DNAAF2,1.3931231
STAT3,APBB2,1.388864
PRDM1,FLRT3,1.3853388
MXI1,PPT2,1.3846244
TFAP2A,PGM2,1.3843158
TEAD4,ZNF219,1.3837646
EOMES,WDHD1,1.3831562
TCF4,MATN3,1.383008
OTX2,CCNE2,1.3778714
TP53,RAI14,1.3773327
TCF4,ID1,1.3697069
OTX2,GCA,1.3610183
TEAD4,CPE,1.3578051
FOXP1,NFIA,1.356222
TCF4,SNAPC3,1.3559778
STAT3,PMAIP1,1.3557996
JUND,MXI1,1.3498598
MXI1,TFAP4,1.3484267
TCF4,STAT3,1.348114
MXI1,FOXD3,1.347116
DNMT3B,ZNF8,1.3462946
TFAP2A,FOXN3,1.3446876
NANOG,SFRP2,1.339536
JUND,ALPK2,1.3333573
TP53,SNX18,1.3319032
PRDM1,MECOM,1.3311799
TP53,FLRT2,1.3308253
STAT3,AK4,1.3301516
TFAP2A,ILF3,1.3256885
GATA6,HNRNPK,1.3230287
MLLT3,TP53INP1,1.3223606
MLLT3,ASXL1,1.3166244
TFAP2A,TRAF6,1.3165841
OTX2,MAML3,1.3154699
MXI1,RNF19A,1.3133006
STAT3,EPCAM,1.312448
EGR1,STAT3,1.3109002
KLF5,TMSB15B,1.3064886
FOXP1,TFAP4,1.3063611
CTNNB1,EXO1,1.305509
OTX2,ILF2,1.303497
TEAD4,FUBP1,1.3013444
LEF1,ZNF521,1.3007172
GATA6,PHLDB2,1.2995994
TEAD4,DEPDC1B,1.2968292
GATA4,BAMBI,1.2959409
TEAD4,WWTR1,1.295184
JUND,KLF5,1.2947775
TP53,PHLDB2,1.2933936
TFAP2A,UNC5D,1.2917198
MXI1,WDR3,1.2907677
NANOG,NOL11,1.2857283
CTNNB1,USP44,1.282825
FOXP1,FARSB,1.2827225
TFAP2A,RND3,1.2826092
CTNNB1,DNMT1,1.2785298
CTNNB1,SEMA3E,1.2758439
CTNNB1,PLAGL1,1.274147
CTNNB1,RAI14,1.2721868
TFAP2A,NDC80,1.2670408
FOXP1,RBPJ,1.2662301
MXI1,ZNF142,1.2656025
OTX2,VPS13C,1.265075
MXI1,PDE3B,1.2649951
FOXP1,UNC5D,1.2628987
FOXP1,WWTR1,1.2581217
DNMT3B,AGL,1.257261
FOXP1,TMSB15B,1.2569218
CTNNB1,MCM7,1.2567663
TFAP2A,ZIC2,1.2564309
EGR1,NOC3L,1.2555774
TP53,ZNF398,1.2533402
CTNNB1,NDC80,1.2532561
TCF4,ZRANB2,1.2530202
MXI1,HNRNPAB,1.2492633
OTX2,ESCO2,1.2454681
GATA4,RMI1,1.2444035
TP53,PALLD,1.2443835
MXI1,SNAI2,1.2415206
TEAD4,KLHL12,1.2413368
NANOG,DKK1,1.2410878
KLF5,RAI14,1.2410293
TP53,CCNA2,1.2409623
OTX2,TLE3,1.2383269
MXI1,APEX1,1.2352537
OTX2,NPM1,1.2350726
STAT3,ZNF398,1.2338486
STAT3,NOC3L,1.2292603
MXI1,MCM3,1.2283455
MXI1,SNRPB,1.2240201
TEAD4,PDCD11,1.222379
OTX2,SEMA6D,1.2216619
DNMT3B,CEBPZ,1.2194365
TP53,MECOM,1.2186941
TFAP2A,LIFR,1.2164814
MLLT3,TJP2,1.2148983
GATA4,TFAP2A,1.2142818
FOXP1,NOC3L,1.2138982
MXI1,SIRT1,1.2136942
FOXP1,MRPS30,1.2123151
GATA4,PREPL,1.2115344
TRIM28,MCM6,1.2088957
MXI1,CCPG1,1.2059937
FOXP1,CHEK2,1.2043675
FOXP1,ALPK2,1.2032692
OTX2,KHSRP,1.1987711
TFAP2A,ANKRD1,1.1969757
FOXP1,DNAAF2,1.1967801
OTX2,ACOX3,1.1954769
TFAP2A,MCM4,1.1938661
TCF4,MITF,1.1934081
FOXP1,TIPARP,1.1890395
TCF4,RGS5,1.1882987
TFAP2A,PITX2,1.1879634
NANOG,VWA5A,1.1858102
EGR1,NCAM1,1.1855175
TFAP2A,TMSB15B,1.1842601
DNMT3B,HNRNPK,1.1842133
DNMT3B,YPEL5,1.1839926
EOMES,TP53,1.1762922
TFAP2A,ANKRD13C,1.1762623
CTNNB1,PAWR,1.1757734
KLF5,CCNA2,1.1748964
TFAP2A,GTF2H2,1.1730524
STAT3,ESRRG,1.1730318
JUND,E2F4,1.1714487
JUND,SAP18,1.1706316
FOXP1,TFDP1,1.1689132
TEAD4,XRCC6,1.1682408
FOXH1,IFI16,1.1666687
GATA4,HESX1,1.1653965
STAT3,EMB,1.1640155
MXI1,YPEL5,1.1639693
MXI1,JUND,1.1632912
OTX2,TSPAN12,1.1629771
KLF5,PITX2,1.1626662
TEAD4,FOXN3,1.1623309
STAT3,PROM1,1.1612533
TFAP2A,ODC1,1.1603913
TFAP2A,POU3F1,1.160231
FOXP1,DUSP4,1.1601105
FOXP1,UPF2,1.159874
DNMT3B,OXTR,1.159684
JUND,ZNF142,1.1595073
TFAP2A,MRPS30,1.1577032
EOMES,FER,1.1568533
TEAD4,COLEC12,1.1565889
GATA6,CER1,1.1549735
OTX2,PREPL,1.1541879
TFAP2A,BCLAF1,1.1541833
JUND,XRCC6,1.1538848
PRDM1,FBXO28,1.1537504
TCF4,BLM,1.1519762
STAT3,DEK,1.1513963
MXI1,TLE3,1.1513344
JUND,TTC39B,1.1510233
TRIM28,TEX10,1.1507862
KLF5,COL5A1,1.143896
STAT3,CALCOCO1,1.1425619
STAT3,ST3GAL6,1.1410227
TFAP2A,ARID5B,1.1400348
PRDM1,AK4,1.138186
TFAP2A,FLRT3,1.1373236
GATA6,ELMO1,1.1364262
DNMT3B,PHLDB2,1.1338508
OTX2,PLK2,1.1326644
SNAI2,ZNF219,1.132488
TEAD4,CDK6,1.1320472
JUND,PPP1R9A,1.1290655
STAT3,GPC6,1.1281593
TEAD4,SAP18,1.1270608
TP53,RBPJ,1.1267484
STAT3,EWSR1,1.1264062
JUND,INSIG2,1.125907
FOXP1,PRSS35,1.1253257
TP53,WDFY1,1.1253209
JUND,ZNF8,1.1250784
MXI1,TCF4,1.122324
TEAD4,DTL,1.1192002
TFAP2A,KIF23,1.1191084
JUND,COL1A2,1.1183109
JUND,SFPQ,1.117221
FOXP1,ZNF142,1.1162237
TFAP2A,TP53,1.1148204
LEF1,EXO1,1.1146821
STAT3,LEF1,1.1140581
OTX2,COL5A1,1.1137767
OTX2,TCF4,1.1130481
FOXP1,BCLAF1,1.1130468
STAT3,SEMA3E,1.1126431
FOXP1,GCA,1.1126266
SMAD2,KIAA1324L,1.1125824
TEAD4,FOXJ2,1.1124636
MXI1,ZNF764,1.1121686
TFAP2A,TTC39B,1.1110879
PRDM1,RHOBTB3,1.1105659
TCF4,BTF3,1.1086949
TFAP2A,RFC3,1.108053
FOXP1,RHOBTB3,1.1073217
TEAD4,NFATC3,1.1070967
TEAD4,PALLD,1.1060163
FOXP1,FOXK1,1.1056631
TP53,ZNF165,1.1039886
OTX2,APC,1.1023637
CTNNB1,ZNF219,1.1019759
TP53,MED14,1.1010306
TFAP2A,COMMD10,1.1007915
TEAD4,CNBP,1.0998502
CTNNB1,FBXO34,1.0992497
STAT3,SAP18,1.0982533
JUND,USP44,1.0977795
LEF1,OTX2,1.0976505
TFAP2A,NDUFC2-KCTD14,1.0961921
STAT3,TLE2,1.0952466
CTNNB1,TFAP2A,1.0951545
TCF4,AMN1,1.093855
STAT3,RNPS1,1.0935622
MLLT3,KAT6A,1.0927178
CTNNB1,OTX2,1.0925817
TFAP2A,NR2C1,1.0920842
GATA2,MIA3,1.0912819
JUND,TEAD1,1.0897555
MXI1,PHF21A,1.089746
SNAI2,ZNF398,1.0893449
JUND,PAM,1.0869968
DNMT3B,NCAPG,1.0860819
GATA4,CEP85L,1.08487
EGR1,SLC39A8,1.0846585
TFAP2A,RBBP4,1.0831399
OTX2,ANKRD1,1.0828056
MXI1,CEBPZ,1.082375
OTX2,ZNF165,1.0822136
NANOG,TLE2,1.0816078
FOXH1,ARID5B,1.0808768
TFAP2A,ATP2B4,1.0807528
TCF4,GLDC,1.0806267
MXI1,STK38L,1.0800519
PRDM1,ZIC2,1.0794079
NANOG,NOC3L,1.0793418
STAT3,USP44,1.0790164
CTNNB1,TIMP3,1.0775784
TCF4,NFKBIA,1.0769541
FOXP1,JMJD1C,1.0738206
TEAD4,SLC19A2,1.0723236
NANOG,SF1,1.0710073
PRDM1,ESRRG,1.0706701
STAT3,GATA3,1.0696793
TFAP2A,CITED2,1.0690589
MLLT3,WLS,1.0672256
OTX2,ZNF83,1.0651019
MXI1,EPCAM,1.0648993
FOXP1,SNAI1,1.0647787
TCF4,NFKBIB,1.064764
GATA4,TSPAN12,1.0645045
NANOG,DNAAF2,1.0640533
MXI1,BCLAF1,1.0638151
STAT3,VHL,1.0634375
TCF4,KIAA1324L,1.0624951
ZFP42,MCM6,1.0620601
DNMT3B,ARHGAP28,1.0617347
TRIM28,ZNF202,1.0606294
LEF1,FAM135A,1.0599582
CTNNB1,PAM,1.0594468
KLF5,VIM,1.0578427
GATA3,KLHL12,1.0573249
NANOG,WLS,1.057218
FOXP1,KLF7,1.0561419
JUND,SOS2,1.0557697
MXI1,EPB41L3,1.0528854
STAT3,DNAJC2,1.0508757
LEF1,PLAGL1,1.0503558
LEF1,RPP40,1.0501177
SNAI2,ASNS,1.0495925
TFAP2A,ZNF165,1.0485967
CTNNB1,POU3F1,1.0484284
TEAD4,OTUD6B,1.0479791
KLF5,CER1,1.0466131
STAT3,WWP1,1.0452229
STAT3,U2AF1,1.0449793
TEAD4,MIA3,1.0446627
NANOG,TDRD7,1.0429248
TEAD4,MAPK10,1.041751
FOXP1,SLC6A15,1.041364
STAT3,DLGAP5,1.0413095
OTX2,TIMP3,1.0411878
TCF4,PAWR,1.0410666
MXI1,SFPQ,1.0404861
TRIM28,SOX4,1.0404334
GATA3,ZNF202,1.0403879
STAT3,NR3C1,1.040221
GATA4,KLHL12,1.0390567
GATA4,DCAF6,1.0378488
TFAP2A,MRPS35,1.0367358
PRDM1,PSIP1,1.0366644
FOXP1,KIF15,1.0355659
EOMES,FOXP1,1.0354329
DNMT3B,CREB3L2,1.0348616
TFAP2A,ANGPT2,1.0340741
GATA2,MCC,1.0334396
TCF4,XRN1,1.0327295
PRDM1,COL1A2,1.0325267
KLF5,SRC,1.0323006
NANOG,ASNS,1.0312452
TCF4,CRX,1.0310936
TEAD4,NFIA,1.0310739
MXI1,RXRG,1.031021
TEAD4,IFI16,1.030696
OTX2,CA2,1.0283651
EOMES,DNMT1,1.0261675
TP53,REV3L,1.0254699
KLF5,SNAI2,1.0251757
JUND,COL5A1,1.0241191
STAT3,SNX18,1.0237935
KLF5,PURA,1.02214
KLF5,NPM1,1.0218363
EZH2,ATG4C,1.0212231
TFAP2A,VWA5A,1.0209421
PRDM1,CREB3L2,1.0208344
TRIM28,BMPR1A,1.0208178
TFAP2A,KHSRP,1.0201739
FOXP1,ANXA3,1.0177927
PRDM1,GPR83,1.0176969
FOXP1,KIAA1324L,1.0135529
CTNNB1,PGM2,1.0133154
OTX2,LTBP1,1.0133121
TFAP2A,PREPL,1.0127516
CTNNB1,NFAT5,1.0119499
EOMES,MYBBP1A,1.0111705
TFAP2A,VPS13C,1.0100191
POU5F1,FER,1.0082121
TFAP2A,MIF,1.0079117
EOMES,WWP1,1.0076174
TEAD4,ADAMTS3,1.0069817
ZFP42,PFKFB2,1.0062668
JUND,ZNF587,1.0061362
TEAD4,U2AF1,1.0050575
GATA6,MRPL1,1.0037805
PRDM1,PMAIP1,1.0027497
JUND,STK38L,1.001486
MXI1,LIPG,1.0007293
POU5F1,RHOBTB3,1.0000058
PRDM1,ZKSCAN1,0.9995316
OTX2,ZNF202,0.9985161
JUND,TFDP1,0.9977473
SMAD2,SKA3,0.99644095
GATA4,TMSB15B,0.9964349
OTX2,KLF5,0.9948564
CTNNB1,PNPLA8,0.9945011
MXI1,ARFGAP3,0.993866
STAT3,ESCO2,0.9937197
FOXP1,NFYB,0.99342
GATA6,ODC1,0.9932114
STAT3,FAM117B,0.9928536
TFAP2A,ACOX3,0.9919762
LEF1,CER1,0.9917588
KLF5,GSC,0.9912262
TFAP2A,HELZ,0.98892367
CTNNB1,RIOK1,0.9885944
GATA6,PURA,0.98823965
EOMES,JMJD1C,0.98698425
TFAP2A,DNAAF2,0.9866781
FOXP1,BTBD10,0.98440516
TEAD4,TJP2,0.9843271
CTNNB1,ZNF521,0.9835416
KLF5,CSDE1,0.98126304
JUND,CNBP,0.9809135
TEAD4,PTMA,0.97828525
TCF4,BMP4,0.9762271
FOXP1,NDC80,0.9758044
KLF5,ZEB1,0.97431564
TFAP2A,SKA3,0.97394174
PRDM1,NAA15,0.97292674
TEAD4,ANKRD50,0.97210956
LEF1,NOC3L,0.97208
PRDM1,POLR2A,0.97201014
MLLT3,FBXO34,0.97091734
TEAD4,PA2G4,0.970374
CTNNB1,CSDE1,0.9693495
JUND,NCAM1,0.96917456
KLF5,YPEL5,0.96790785
GATA2,SMAD5,0.96751064
PRDM1,PHLDA1,0.96712613
CTNNB1,HESX1,0.965276
GATA4,CYP26A1,0.96524286
OTX2,ZNF518B,0.9649181
EGR1,INSIG2,0.9642224
TEAD4,MRPS30,0.96395075
STAT3,TBX3,0.96390665
TRIM28,PHF21A,0.96365976
FOXP1,BCAR3,0.9628855
SMAD2,OXTR,0.9625505
TEAD4,RGS5,0.96247375
GATA4,SRSF1,0.96099925
CTNNB1,NEDD9,0.9608551
FOXP1,EOMES,0.96022123
EOMES,TRIP11,0.9596387
TCF4,TCF7L1,0.95945954
TFAP2A,HMGN2,0.959418
OTX2,DLGAP5,0.9591487
PRDM1,PHB2,0.9590899
CTNNB1,PPP1R9A,0.95871794
CTNNB1,BMPER,0.9582875
TCF4,ZNF587,0.9581065
EOMES,NUP35,0.9580466
FOXP1,CREB3L2,0.95793796
DNMT3B,MIA3,0.9574118
EOMES,HDGF,0.95647
TFAP2A,EWSR1,0.9561506
MXI1,CNBP,0.9558712
CTNNB1,CDK6,0.9556251
OTX2,ZNF146,0.95532715
MXI1,STT3B,0.9549017
DNMT3B,CAMK2D,0.95341575
MXI1,DNAAF2,0.95246905
TFAP2A,LMO2,0.9523083
TFAP2A,CDCA7L,0.95220006
GATA4,POLR3G,0.9516982
MXI1,HNRNPK,0.9515914
OTX2,CLGN,0.95128477
PRDM1,SLC19A2,0.95050716
SNAI2,WLS,0.950294
MXI1,ELMOD2,0.94992495
TCF4,TTC39B,0.94917524
NANOG,MECOM,0.9480178
TEAD4,RBM14,0.94801104
KLF5,NUSAP1,0.9478674
TFAP2A,PPT2,0.947242
FOXP1,WDHD1,0.9471702
ZFP42,NUP54,0.94700384
TEAD4,RBFOX2,0.9469615
MXI1,ANKRD6,0.9469501
MXI1,CAMK2D,0.9456589
CTNNB1,TMEM38B,0.94535017
TEAD4,MEF2D,0.9434568
TFAP2A,CCNA2,0.9414884
STAT3,NOL11,0.9406139
EOMES,ARHGAP29,0.93946993
GATA4,ALG6,0.9394187
FOXP1,COL4A1,0.9382512
TEAD4,CCNA2,0.93804336
JUND,ARHGAP28,0.9377859
TCF4,GLRX,0.93729997
EOMES,RPP40,0.9368155
OTX2,TRIP11,0.93618715
TFAP2A,MAP4K3,0.9355637
TCF4,ANKRD50,0.93490386
GATA3,GPC6,0.9346827
TCF4,PLAGL1,0.9331935
TFAP2A,ENO1,0.93314564
STAT3,SLC39A8,0.93269885
NANOG,HNRNPAB,0.93267393
GATA3,TIPARP,0.930667
NANOG,CEBPZ,0.93028194
MXI1,MYBL2,0.9297067
DNMT3B,ZNF518B,0.9295889
EGR1,FER,0.9294624
TCF4,BTBD10,0.92768943
GATA4,NOC3L,0.9276863
EOMES,SEMA3E,0.92724454
TFAP2A,TRIM27,0.92711985
MXI1,ESRP1,0.92703694
MXI1,ZNF589,0.92647856
GATA3,NFAT5,0.92622507
DNMT3B,EEF1A1,0.92577106
CTNNB1,ZNF24,0.9255686
JUND,PAWR,0.92538464
CTNNB1,SMARCD3,0.92428553
EGR1,CXXC1,0.92410195
TCF4,DNMT3A,0.92344767
MLLT3,DDX54,0.92205894
SMAD2,U2AF1,0.9218333
JUND,ZNF202,0.9212289
TCF4,ETV4,0.92052126
GATA6,LPIN1,0.92019653
SMAD2,ZNF202,0.9198474
PRDM1,VIM,0.9195998
GATA3,SNAPC3,0.91933227
KLF5,SUPT16H,0.91913855
TFAP2A,AIP,0.91859293
MXI1,ABLIM1,0.9185101
SMAD2,TIPARP,0.91756225
TP53,POLR3G,0.9153794
FOXP1,UTP15,0.9152012
TCF4,PDGFRA,0.9149731
JUND,STIM2,0.912859
TCF4,PLOD2,0.91264904
MXI1,KLHL24,0.9124416
STAT3,ALG6,0.9119386
MLLT3,HNRNPK,0.9116872
NANOG,BTF3,0.91159606
MLLT3,TADA1,0.9114299
STAT3,GPSM2,0.9111702
MXI1,TFE3,0.9110227
OTX2,SLC35A3,0.91101384
MLLT3,PSIP1,0.9100572
SOX17,THAP9,0.90919197
GATA4,RAI14,0.90917724
TFAP2A,STK38L,0.90909624
CTNNB1,ANXA3,0.9089322
STAT3,ZKSCAN1,0.9083435
TEAD4,LTBP1,0.90715134
TEAD4,TRAPPC8,0.9062471
SOX2,MECOM,0.9057019
KLF5,DCAF6,0.9051415
EGR1,KLHL28,0.9048731
PRDM1,DCAF6,0.9046478
FOXP1,PDGFRA,0.90453094
FOXP1,TDP2,0.9036284
CTNNB1,CLDN11,0.9031707
TFAP2A,COBLL1,0.9031054
DNMT3B,SMG6,0.902073
EZH2,PITX2,0.90078217
TFAP2A,POLR3G,0.8987311
KLF5,ASNS,0.89843464
CTNNB1,PHLDB2,0.8973187
PRDM1,MCC,0.8968619
CTNNB1,GTF2H2,0.8966672
KLF5,SLC39A8,0.89451075
FOXP1,KHSRP,0.8943602
TFAP2A,SFPQ,0.89422035
JUND,TIPIN,0.89361155
CTNNB1,VWA5A,0.8935243
EGR1,CER1,0.89289516
JUND,RTKN2,0.8928609
GATA2,SCD5,0.8925569
TCF4,VASH2,0.8916934
TEAD4,VIM,0.89114904
JUND,AFF4,0.89111125
MXI1,CXXC1,0.8905078
JUND,TCOF1,0.8903036
OTX2,PDCD11,0.8899299
TEAD4,ESCO2,0.8896518
OTX2,FOXD3,0.8895737
TFAP2A,CENPK,0.8895035
LEF1,DCAF6,0.8889306
KLF5,UPF2,0.88882816
MXI1,ASH2L,0.88848996
GATA6,CSDE1,0.88815165
FOXP1,ID3,0.88577414
JUND,RBMX,0.88538474
GATA2,UNC5D,0.88374066
GATA4,RRN3,0.8835614
TFAP2A,CSRP2,0.8823841
FOXP1,CSDE1,0.8822311
JUND,UNC5D,0.88162994
PRDM1,RBMX,0.8815459
CTNNB1,SRC,0.8800319
CTNNB1,TMSB15B,0.88001615
TEAD4,ST8SIA1,0.8798667
GATA6,KDR,0.8795788
MXI1,GDAP1,0.8793559
KLF5,ZNF589,0.8791994
TFAP2A,ATF6,0.8790829
TP53,HESX1,0.87868756
GATA2,MRPS30,0.8772327
EZH2,TLE2,0.87714815
KLF5,ZIC2,0.8766449
KLF5,USP44,0.87621236
EZH2,UTP15,0.8761597
TFAP2A,STT3B,0.8752299
EOMES,PPM1H,0.8750098
PRDM1,ETV4,0.8737298
TP53,RGPD2,0.8736056
GATA2,GSC,0.87345755
MXI1,SOX4,0.87287974
FOXP1,PITX2,0.87259126
GATA6,KAT6A,0.87244534
OTX2,POU2F1,0.8721322
CTNNB1,TFE3,0.8712083
ZFP42,SFRP2,0.86975193
EOMES,POLR2H,0.86928976
EOMES,FARSB,0.8687999
GATA6,ANKRD1,0.8683356
STAT3,ZNF239,0.8680346
TCF4,MAFF,0.8673406
KLF5,TJP2,0.8668428
KLF5,FUBP1,0.866517
TEAD4,LGALSL,0.8663533
JUND,COBLL1,0.8662276
SMAD2,KLF7,0.8658633
JUND,FAM135A,0.86562526
JUND,BTBD10,0.8655315
GATA3,FER,0.8653246
FOXH1,ZNF142,0.864965
TP53,CREB3L4,0.8647878
GATA2,TTC39B,0.8647295
TP53,UTP15,0.86453575
GATA6,CYP1B1,0.8645258
TP53,RXRG,0.8642064
JUND,FUBP1,0.86286473
CTNNB1,ELL2,0.8627397
EOMES,GPR83,0.8620275
OTX2,CSDE1,0.8618209
FOXP1,PLK1,0.8613872
JUND,KAT6A,0.8613793
TFAP2A,POLR1B,0.86123943
SMAD2,DLC1,0.8603271
CTNNB1,SOS2,0.86030334
GATA6,PRTG,0.8602061
MXI1,PARP1,0.85983276
FOXP1,PBX1,0.8597085
POU5F1,LIFR,0.8597053
EZH2,SFPQ,0.85918593
TCF4,COL1A2,0.85799277
TP53,LRIG3,0.8576287
GATA6,TFDP1,0.8571039
CTNNB1,POLR2H,0.8570014
CTNNB1,RND3,0.8559831
EZH2,CSDE1,0.8554895
PRDM1,PELI2,0.85542333
GATA2,FER,0.85529697
GATA6,DNMT3B,0.8548918
JUND,ACOX3,0.8541661
MXI1,ANKRD28,0.85372627
TEAD4,RAD51AP1,0.8537004
TEAD4,HELZ,0.8536263
MXI1,GABRB3,0.8530116
STAT3,CDK6,0.85200334
PRDM1,SRSF10,0.8519726
FOXP1,RGPD2,0.8511874
MXI1,TNFRSF11B,0.85109955
NANOG,TRIP11,0.85108465
